dictionary.txt

# # O D D # S N A T C H 
# E # # R E # # V # H # 
U N I T Y # A G O # A # 
# S # A # # D # U # R # 
C U L L # C O X C O M B 
# R # L # # # # H # # # 
R E # # E # O # # H # V 
O # E # C # C O # A # I 
A # A # H # C # D R # E 
R # S # O # U # R E # # 
# # Y # # # L # # # # # 
# # # # A C T I V I T Y 

AGH SNATCH
BBV ENSURE
GEV ECHO
BEH RE
LEH ACTIVITY
IIV DR
GLV VIE
HGH CO
ACH ODD
BIV VOUCH
BKV HARM
CAH UNITY
CGH AGO
CGV ADO
DDV ALL
EAH CULL
EFH COXCOMB
GAV ROAR
GGV OCCULT
GJV HARE
HCV EASY
CDV TALL
AEV DRY
AIV AVOUCH
AKV CHARM
