dictionary.txt

D R A W # B L E N D # C 
E # R # # U # # # R # O 
R # O # # N # H A I L # 
I # U # A G O # # L # P 
V # N # # L # # # L # L 
E # D # # E # # A # # E 
# # # # D R Y # B O L D 
# # J A R # # # A # # G 
# L # # # U # # C O P E 
# O # S # N # # K # L # 
# P R E F I X # # J O Y 
# # # T # T # R E # T # 

IBV LOP
FIV ABACK
KBH PREFIX
IIH COPE
DLV PLEDGE
AFV BUNGLER
GEV DR
GEH DRY
CHH HAIL
AAV DERIVE
ABH RAW
AGH LEND
ALV CO
BCV ROUND
BJV RILL
DEH AGO
GJH OLD
HCH JAR
IFV UNIT
JDV SET
JKV LOT
KJH JOY
LHH RE
AAH DRAW
AFH BLEND
GIH BOLD
ACV AROUND
AJV DRILL
IKV PLOT
