dictionary.txt

T R A N S F E R # F E W 
# # # # # # # # # I # # 
H # D A N G E R # T # R 
O # U # E # # E # # # U 
A # D R A W L # H # # S 
R # G # R # # # O # # T 
Y # E # L # F L A T # I 
# C O S Y # L # R # # C 
C # N # # B A Y S # K # 
L # # A # # G # E # E # 
I # # P # # # # # V E X 
P # S T A L K # # # P # 

AAH TRANSFER
AJH FEW
CCH DANGER
ECH DRAWL
GGH FLAT
HBH COSY
IFH BAYS
KJH VEX
LCH STALK
CAV HOARY
IAV CLIP
CCV DUDGEON
JDV APT
CEV NEARLY
GGV FLAG
CHV RE
EIV HOARSE
AJV FIT
IKV KEEP
CLV RUSTIC
