dictionary.txt

N I B B L E # M O B # P # S # 
# # # # # L # A # # C R A C K 
A # M E D I C I N E # O # I # 
G # A # # C # M # V # F L O W 
I # I # B I G # # E # U # N # 
L # D # # T # B O N U S # # T 
E # # C O # # L # T # E # # A 
# # # R # E # A # # # # J A R 
I N S U R R E C T I O N # # T 
N # # D # R # K # # R # # # # 
J # S E T # S E A # B # D I E 
U # # # R # # N # # # # R # # 
R # # # A # F # W A K E # # D 
E # R E C E I V E # # # # # R 
# # E # E # T # T R I T E # Y 

AAH NIBBLE
AHH MOB
BKH CRACK
CCH MEDICINE
DLH FLOW
EEH BIG
FHH BONUS
GDH CO
HMH JAR
IAH INSURRECTION
KCH SET
KGH SEA
KMH DIE
MIH WAKE
NCH RECEIVE
OIH TRITE
CAV AGILE
IAV INJURE
CCV MAID
NCV RE
GDV CRUDE
KEV TRACE
AFV ELICIT
HFV ERR
MGV FIT
AHV MAIM
FHV BLACKEN
MIV WET
CJV EVENT
IKV ORB
ALV PROFUSE
KMV DR
ANV SCION
FOV TART
MOV DRY
